Sighting Date,Reported Date,Place,Shape,Time,Comments,Disaster
20100101,20100101," San Diego, CA", triangle,3 minutes,It happen nEw years eve 2010Triangle red lights.  All three stayed together for 2.5 minutes.  All three approched really fast towards us.   With a second of s stop.  Two went west and one went east.,
20100101,20100101," Richmond, VA", triangle,1.5 minutes,"Possible triangle craft spotted in Richmond VAI am 14 years old, and I also hold a 2nd Degree Black Belt in Tae Kwon Do. On the way home from T.K.D. lessons, we had stopped in a traffic jam next to a high school football field. I peered out the window to get a better look at the traffic, and in the sky I saw 4 lights in a triangular formation; 3 white lights in each corner of the triangle and a single red light in the center.It was dark, and all I could tell from the lights were that they did not flash or blink in any way. I know that there were some power lines around, but if there was a solid object behind those lights, it was enormous. I&apos;m sure others saw it, but I can&apos;t be sure. The craft did move, at a speed I estimate to be about 5 mph. I know that this was not the illusion created from the moving car, as I saw it move even when we were stopped. I didn&apos;t bother to tell my mom and sister, as they would just think I was joking.I&apos;ve heard of the theorized TR-3B &quot;Government UFO,&quot; and I think that what I saw might bear a resemblance to the infamous Black Triangle.The lights were still there, even after the traffic started to pick up again.The next day, we took the same route to and from Tae Kwon Do lessons. On the way to our lesson, I looked at the spot in the sky where I had spotted the 3 lights. There was nothing like a cellphone, VOR or radio tower in the vicinity. On the way home, I looked in the sky and the lights weren&apos;t there.This still remains a mystery to me, and I&apos;m still investigating this incident.((NUFORC Note:  Witness indicates that date is approximate.  PD))",
20100101,20100101," El Cajon, CA", light,10min,"3 red lights in sky new years 20103 bright red lights in shape of triangle, slowly faded one by one after watching them for 10 min.",
20100101,20100101," Jasper, FL", sphere,1 MIN,Bright light sets in the eastren sky.,
20100101,20100101," Dundee, NY", unknown,15 min,"the object we saw changed multiple colors, hovered/moved like nothing i&apos;ve ever seen. It also seemed to respond to a led light i hadmyself and a friend were on our way back to my house around 2 in the morning when the car we were in got a flat tire. From the spot of the car to the sighting is around 4 miles and we were walking. We have been walking for a little over a hour or so and decided to stop for a little bit to have a cigarette and look over a bridge. After standing for a while about 5-10 minutes looking over the right side of the bridge we decided to start walking home again, when we turned to keep going I looked over the tree line to our left and there was a strange looking light, almost like a star but slightly bigger and not one solid color. As we stood and observed this object it seemed to change colors, from red to purple to blue, and so on. It seemed to be getting closer and then started moving side to side and up and down. I took a chance and grabed a white led light i have on my keychain and flashed it at the object. When i did so it seemed to move more and the lights wer! e still changing. It moved up higher to the left, back down and then went right at the speed it was moving at then like a flash dissapeared to the right. We stood in the road and decided to get out of there and as we came off the bridge i got an erie feeling and before i could say anything my friend said he saw something in the road. I thought i saw something too but it was so dark i coulden&apos;t tell. We had stopped in our tracks from the first time we decided to stop for about a half an hour now and not one car or truck had gone passed us. We couldent turn around or go any other direction so we started to run towards what we thought we saw in the road. Either we scarred it or there was nothing in the road so we continued on our way home. The next day on our way to my house in my car this time there seemed to be the same light changing object over the lake now. When we got to my house it was still visible but by the time we got outside with a camera it was gone. At the north ! end of the lake there is an airforce base, and there is a nava! l statio n on the lake. Anything that has come from the airforce base is very loud, not as fast,and could never hover or move like the object we saw that night.((NUFORC Note:  Date may be approximate, although the source does not indicate that fact.  PD))",
20100101,20100101," La Mesa, CA", triangle,4-6 minutes,"3 bright red lights hovering high in the sky in an elongated triangle pattern just after midnight 2010 in La Mesa, CaTonight at appx 12:10am there were 3 bright red lights in the sky in a stretched out triangular formation directly overhead on my patio in La Mesa.  Compared to a clock they were at appx 11:00 and 1:00 with the elongated triangle ending at 6:00. My home is in Mount Helix, Ca about 1/2 mile up Fuerte Drive from the I-8 Freeway heading east, my home is on the north side of Fuerte Dr and I was on my patio facing south. These lights were directly overhead as was the moon, they were just east of the moon, my husband and I both saw these and he and I both wondered if someone launched a very high balloon in the sky but they just sat there and hovered, I have never seen anything like this in my life, I&rsquo;m 55. The entire triangle formation would be covered in length by holding appx 3 fists towards the sky from the two lights above to the one below, the two lights above were appx 1 fist apart from what I recall. They were much bigger than the surrounding stars like the ! size of an airplane light though they didn&rsquo;t move and hovered directly over my home in this elongated triangle pattern for many minutes, maybe 4-6 from the time we both saw them. I went inside and came back out and saw they had moved toward the west and were still very bright, I went inside to find my camera and when I came back outside they were gone, no trace of them anywhere. It is crystal clear in the sky tonight and I have a great view, they were not completely round, maybe just slightly elongated circles of lights. There was also no audible sound like a plane engine, whatever this was it just hovered for many minutes without making any sound. I don&apos;t know if this was 3 separate things or one object with lights in a triangle shape.",
20100101,20100101," Mount Helix Park, CA", circle,20 minutes,"3 Red Beacons in Triangular Shape above Mount Helix at Midnight of NYE 2010.My friend and I walked up to the peak of Mount Helix in Spring Valley, San Diego around 11:30pm on 12/31/09 to celebrate the New Year with short meditations and a wonderful view of the city.  We gathered together in front of the large cross right before midnight and both said some kind of prayer and set intentions for ourselves, others and the world for this next year.  We gathered together all of our negative energy and offered it up with appreciation for all the wisdom we gained from its challenges.  As soon as we offered them up towards the sky, we instantly noticed 3 Bright Circular Red Beacons in a triangular shape in the sky slightly north of our position on the hill.  They were just floating without any sound whatsoever and the light remained constant.  My friend said he noticed some flickering of another color (possibly green and red) as he zoomed in with his digital camera but I did not notice this nor was this apparent to the naked eye.  We thought! they might be helicopters at first but they seemed way too high, stationary, mute and close together to be so.  After a couple minutes or so, they began to slowly float directly above our location and then slightly past.  Their triangular shape began to grow smaller as the Beacons moved closer to each other.  Then, at approx. 12:15am, one Beacon began to move off in the distance towards Downtown SD and the waterfront.  The light eventually disappeared in the distance - again, no sound, no other blinking lights and very high up in the sky (nothing like a helicopter).  The other remained for about 2-3 more minutes.  Then they both began to fade as they seemed to travel farther and farther away from the surface of the earth.  By this time, the lights were in between the constellation Orion and the Blue Moon.  The lights, according to our best observations, did not simply dim and shut off but actually &quot;flew&quot; or floated farther and farther away from Earth until they finally dis! appeared from our view amongst the stars.  We did not see any addition al sightings afterwards.  We have short video clips from a Digital Camera of the lights throughout various times while they were present. I am not sure what they were, but they were not frightening at all.  We both felt it was somewhat of a sign or response to our prayers for guidance that we started the night off with. I am a 25 year old Graduate Student who lives in North East CT but was born and raised here, in Southern California.  My friend is 41 and is an Opera Singer and a Substitute teacher pursuing his teaching credential.  We are both certified Yoga instructors and are very open to new thought and spiritual beliefs as well as appreciating the beauties of existing religions.",
20100101,20100101," National City, CA", formation,25 mintutes,3 red lights over the mountains in Eastern San DiegoJust after midnight on new years 2010. I stepped outside and looking east towards the mountains three red lights shaped into a triangle are visible.  At first i thought they were flares or fireworks but the lights were stationary.  And the three lights remain still for 10 minutes then slowly began to rise for 5-8 minutes and one after another they began to disappear into the night.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD)),
20100101,20100101," Butler, MO", cylinder,4 hours,"sightind and abduction on country road.We were going out to photograph, at night, blindly shooting down into gulleys  and streams, hollows and deep inside walled areas of trees.  Our hope was too catch animals off guard and maybe get interesting pictures. I was using a flash, on each and shot over a hundred pictures that night.We left at 8,30   Throughout  the entire evening,  we felt only that a calming ride in the country had occurred with possibly some good pictures . Pictures we&apos;d view in the morning  on the computer. The next morning when I looked through them enlarging them on  photo gallery, I saw the two pictures and a few others.  I&apos;m sending. 4 that night that I had no memory,, of taking.We had no memory at all of anything seen in the images, the craft, or the thing in front of the car.    No memory of being stopped.    We returned on the next night thinking something cool had happened seeing a UFO and  thought since we were unharmed it would be safe to return. The next night we went we had similar results, a few more pictures that were strange even more frightening because of the activity in front of our car that could not be made out clearly.We were  slightly worried but more curious about the ship we had seen twice in the pictures. and after a few more days thought again it might be safe, so we returned with tape recorders in the car.And the things on the tapes were muffled but a few areas crystal clear,  one of these was our talking on the tape, and then the car stopping suddenly, the doors came open and my wife was drug out with a whimper, and the sound of me struggling in my seat unable to speak went on for some time, possibly 10 seconds, there was a humming sound in two short bursts, and I was heard struggling no longer, in fact neither of us  were heard.There is a point where a voice makes a sexual reference, one sentence,,  and then that yea their dumb.  Afterward, some time later( yea there almost ready. )  the sounds of  arranging equipment? Like picking up stuff , closing a container, etc. Within the next minute we start the car, pull away driving again, and resume the conversation we had been having before the incident.We returned home, ready for sleep, having no idea anything had occurred.  We had by mid-night the beginning of severe abdominal pain and rectal pain as well, identical. These conditions lasted for the better part of three days.  This and the things found on the tape made it clear what  had possibly  taken place .Again photos were in the large set ,of only a odd shaped vehicle outside the car stirring up dust.  Its strange sound on the tape.  There were other things said so disturbing to us, I destroyed the tapes.  The photos I&apos;m sending are the clearest free of dust flakes that made the others unidentifiable.  We experienced a time loss of roughly an hour two times at least.During a recent  hospital trip a small round polished bead the size of a BB, the airgun ammo, was seen in my sinus cavity in a  x-ray.  Also, I have a hole on the back of my neck, near my hairline, that a  sewing needle could be inserted almost its whole length, eye first with no pain.  No blood or discharge of any kind.  It can still be seen.",
20100101,20100101," Borger, TX", other,1 minute,"300-400 foot boomerang-shaped object moving at 200 mph?, one-half mile distant at about 2,000 ft altitude.  Clear skies, daytime.This sighting occurred in June 1983 in Borger, Texas.  I had not reported this earlier because at the time it occurred I had no corroborating witnesses, no photographs, essentially nothing to substantiate the claim.  I doubted that anyone would have believed what I saw at the time.  However, this sighting stays in the back of my mind, so I am reporting it, if for no other reason, than to have closure.The sighting occurred about 17:30 (Local Time, Central Time Zone) in June 1983.  I was in my residence and heard what I thought was a really, really, loud jet.  It was so loud that I stepped out on my front porch to see what it was.  I looked up and the object was probably one-half mile away at an altitude of probably two thousand feet.  (These are only estimations.)   It was huge.I had a pair of 10 X 35 binoculars in the living room, so I quickly stepped back inside and grabbed the binoculars.  By that time the object was receding, so I might have been better off not using the binoculars.  I remember the object filled the binocular&rsquo;s field of view, which at the time made me wonder just how big this thing actually was.What I saw was a large black boomerang-shaped object, moving from east to west.  It was travelling at a modest speed, maybe 200 miles per hour (again, it&rsquo;s hard to estimate something in the sky without reference points.)  I remember as I looked at the object, there were three specific things that struck me.  The first was the size&hellip;I can only guess that it was 300-400 feet side-to-side and maybe 75-125 feet front-to-back.  The second was the tremendous noise the object made.  It was LOUD.  And, third, the fact that the object was lopsided; that is to say it was asymmetrical.  I wondered how it stayed in the air&hellip;it didn&rsquo;t look aerodynamic.I think another reason I never reported this is the fact that it sounded like a really large jet.  Maybe it was&hellip;if so, it was like nothing I had seen before and have not seen since.  The jet sound made me think it was a conventional aircraft, but the shape and the size made me think it was something beyond classification. I did not notice any exhaust or smoke behind the craft.Since then I have seen video of the A1 bomber and other stealth aircraft.  On one occasion I saw an A1 pass directly overhead.  Believe me, the thing I saw in 1983 makes the A1 look like a toy.By definition, what I saw was a UFO, because it was not identified, it was flying and it was an object.  Whether it was of terrestrial origin or somewhere else, I don&rsquo;t know  I wish I did.((NUFORC Note:  Witness indicates that date is approximate.  PD))",
20100101,20100101," Fresno, CA", light,1 min,"Fresno cal. bright light hovers over head then vanishedShortly after midnight a group of about 10 adults and 5 kids observed a bright orange colored light appeared in the sky, we thought it was a airplane until we relised it was not moving.           Then it just vanished.",
20100101,20100101," Denver, CO", triangle,--,"Pale blue lights hover near Denver, Colorado in &quot;V&quot; formationWhen returning home from dinner on New Year&lsquo;s Eve 2009, at about 9:00 pm, we noticed unusual lights in the sky just east of Denver, Colorado.  There were three lights in a &ldquo;V&rdquo; formation which were pale blue in color, and the outer two lights kept changing in their intensity - &ldquo;twinkling&rdquo; in unison, while the center light at the tip of the &ldquo;v&rdquo; remained stable.  Because Denver International Airport is nearby, we thought at first the lights might belong to commercial or private aircraft -- but on closer observation we noticed there were no regulation aviation strobes.  Also, the lights hovered in the same location for the entire 15 minutes we watched.  We went indoors when the cold finally got to us and tried to find a window from which they were visible, but trees blocked our view.",
20100101,20100101," El Cajon, CA", triangle,6 minutes,On New Years Eve I went outside to hear the celebration and fireworks in my neighbor hood. And noticed 3 red lights above my house and called my wife to grab the video camera.  We recorded 6 minutes of video of the craft above my house before the lights went out. Please contact me at: (619) 579-((number deleted)) if you want to see the video. I am going to give it to the local TV stations tomorrow.  ((name deleted))  619 ((number deleted)),
20100101,20100101," Falcon, CO", disk,8 mins,"We experienced red disk over the falcon, colorado sky within the first minutes of the new year.My friends and i were coming home from a New Years Dinner.  We had no alcohol consumption or narcotics.  It was approximately 12:20 am of the New Year.  We came upon and intersection and a family of 6 in the car in front of us exited their vehicle and looked north from their position. We thought they were looking at fireworks.  We looked towards the north to see what they were examining.  We pulled to the side of the road exited the vehicle and looked towards the direction the other family was. We thought at first the activity was fireworks but until all commotion stop 2 orangey-red lights were continuing to hover above the town. We followed the lights as they did acrobatic movements unlike any United States military aircraft. We continued to a back road heading south toward my house when in the rear view mirror we spotted another to objects behind us. We again exited the vehicle to observe the lights.  They slowly headed our direction from the northwest to the s! outh. The seemed to be circling each other, again doing acrobatic moves a normal aircraft is unable to perform. We continued to observe when one of the objects we lost behind a cloud in the northwest.  The other aircraft shot straight into the shy were we could no longer see it.  From there we continued home, I contacted my parents to see if they could see anything on the other side of town but they didn&rsquo;t see anything. When I arrived home I made phone call to the police department were they had one reported sighting. Now I have come to report this to share my experience and get more info of what we saw on the first night of the new decade.",
20100101,20100101," El Cajon, CA", triangle,12 minutes,"3 Red objects hovering over El Cajon CA  Exiting the house, we saw three red objects pulsating in a triangular formation.  The objects did a rotation and many other movements. From the minute we exited the house, I recorded the scene on my high definition video camera.  The length of the film is slightly under 12 minutes.",
20100101,20100101," Lemon Grove, CA", light,about 15 minutes,"3 Red lights in line pattern above El Cajon/ East County.Right as I was going outside to light off some New Year&apos;s poppers in my front yard, I looked to some fireworks, but noticed three (3) bright red lights hovering east of my house in Lemon Grove, CA. They looked to be in a line shape, similar to the Orion&apos;s Belt Constellation in formation. They were moving slowly southward, with the center light moving slightly back and forth in between the outer two. After about 10 minutes the most southern one began to flash and drop down toward the horizon. The other two remained for another 5 minutes or so then faded out separately. I thought they were maybe some kind of Flare or firework at first, but it just seemed very strange to me. All three others of my family witnessed the event, along with four of my neighbors. I also called my friend in Spring Valley, and her and her father witnessed the event also.",
20100101,20100101," El Cajon, CA", triangle,10 mins.,"Three hanging lights in the sky, in triangle formation, with no sound at midnight, New Year&apos;s Day 2010.A triangle of red lights was seen in the sky, hanging motionless with no sound audible, for approximately 8 minutes.  After 8 minutes, one light started to fade out until all three faded out at the 10 minute mark.",
20100101,20100101," Swindon (UK/England),", circle,14m,"Sentient red lights move across aI started to look out of the window and saw a small red light that was moving outside of the window.  I called the other witness over and saw that one of them actually split into two - One up and one down.The others hovered in sight of the fireworks, then after a few minuites slowly went back up to the sky.",
20100101,20100101," Newcastle (UK/England),", other,3 minutes,"Very large orange flame like craft similar to lantern seen flying low and fast following coastlineAround 1.00 am on New Years day I was walking home with my partner.In the sky we saw a unexplainable object, the best description I can give is that it was like a lantern.The &apos;object&apos; looked like some form of rectangular transparent package with a very large orange flame inside.It would be logical to think that it was a flaming weather ballon etc or even a comet from my description but I am adement it was something else.The &apos;object&apos; was too large and travelling too fast with a very steady precise course (following the coastline) to be anything other than a steered craft.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",
20100101,20100101," Haverhill, MA", triangle,30 seconds,"Haverhill Massachusetts triangle object sightingI was driving up Route 97 East and turned right off of a side street. In the sky I saw a triangle, gray object just above the tree line flying North to South.  There were no lights and no loud noises.  There appeared to be a raised surface at the base of the triangle and that was the part that I presumed was the front.  I asked my daughter if she saw it and said &quot;yes.&quot;  It then disappeared below the tree line.",
20100101,20100101," Bonita, CA", light,13 minutes,"Three bright red lights witnessed floating stationary over San Diego New Years Day 2010At 12:00 am, jan 01, 2010 I went out to listen to the firecrackers for the New Years celebrating going on, and I immediately saw three bright red lights in the sky to the northeast of my location. At first they were in a triangular position, then they moved into a straight line, somewhat horizontal to the earth. I went inside to call a friend or two and when I returned outside one of the lights was gone. The other two lights started to flicker and die out, then one died. The last light remained for a couple minutes more, then it too died out.  Other than coming into alignment with each other, the lights did not move at all. They were stationary in the sky with a very bright glowing red color.",
20100101,20100101," Cicero, NY", light,5 minutes,bright lite making fast moves and complex  I saw a bright light manuevering very fast.  It made circles and patterns and went to infinity and came back then shot a sparkler looking thing into the snow.  I lost time as when I got home it was 2 am.,
20100101,20100101," Olympia, WA", rectangle,1-2 minutes,"Large rectangular craft  following the freeway just above tree level in Olympia-Lacey, WA area.Conditions: overcast, grey, no fog, visibility good. Just east of the Sleater-Kinney Rd SE and Martin Way E intersection, I noted a flashing red light moving in my direction from the southwest &ndash; unable to estimate altitude, and too far away to make out details or shape.About 0.5 miles  distance, there  are two stoplights - one at College Ave S and Martin Way E, and the other a bit farther east at the I-5 Freeway interchange.  I was waiting for the green at the second stoplight when a craft entered my vision from the right, about tree line level, directly over the freeway, flying slowly and completely silent.I clearly saw a large and, I think, rectangular craft. I did not see a cockpit, wings or tail. (I admit I was pretty astonished and didn&rsquo;t look as carefully as I would if I saw something like that again.) It was not like any aircraft I&apos;ve seen nor did look like the pictures of the triangular stealth jet.  It was possibly the length of a large jet (747)and seemed to be about as wide as the freeway lanes.  The flashing red light was in the middle of the bottom of the craft. There were bright white lights across the end and what appeared to be lighted windows along the side.The traffic light changed almost immediately and I drove under the freeway, looking up and observing the bottom of the craft. It seemed to be on a slight descent and the bottom seemed completely flat with just the red light in the middle.((NUFORC Note:  Witness indicates that date is approximate.  PD))",
20100101,20100101," Strabane (County Tyrone) (Northern Ireland),", circle,1 hour,After ringing in the new year my sister was outside to get some fresh air when she called me out.  I and four other family members went out to see what was four round orange lights moving towards us one seemed closer.  I ran in doors for my camera and was trying to video them then they disappeared.  After a few minutes they reappeared  and everyone was out looking at them this must of lasted one hour.  I have asked around to day and other people in the town had seen what we all saw too.((NUFORC Note:  We have assigned an arbitrary time for the sighting.  PD)),
20100101,20100101," London (UK/England),", sphere,3-4 minutes,"Clear defined sighting of an utterly unidentifiable object at a busy airport.We were taking off from Heathrow Airport in London on a BA flight to Boston at around 9:00 am.  I was sitting in the window seat of the aircraft, as I enjoy air-travel and watching our take-off&apos;s.  Heathrow airport was busy at the time, and I was watching many other planes around us out of the window.  We had reached about 1000 feet when I saw a dot about 500 feet below us, at a perpendicular angle towards the plane.  I followed the object, looking intently, expecting to be able to identify the aircraft as it approached closer.  As it approached I was very surprised to see that it did not materialize into any sort of aviation related object.  It was a perfectly spherical shape, a light yet dull metallic gray in colour, with no visible markings or imperfections in the purely circular shape. It caught my attention, and I struggled to figure out what it was.  I assumed it must have been a stationary object on the ground until it passed approximately 500 feet below the ! plane at a relatively high velocity.  From my guess it was relatively small object, no more than 5 metres in diameter.  I was completely and utterly puzzled, having never seen anything like it.  I have excellent 20/20 vision, and it was a perfect day visually, no clouds/precipitation or fog, and the sun was not too bright.  I was quite alert at the time, and was not tired.I made out the object very clearly, and could easily define the spherical shape and dull metallic colour, it was not blurry in any way and definitely was not a speck or smudge on the aircraft window.  That bizarre sighting has puzzled me ever since.((NUFORC Note:  Witness indicates that date is approximate.  PD))",
20100102,20100102," Waxhaw, NC", sphere,1 minute,"red glow/flame over waxhaw, ncIt was a round object glowing red, moving to the south.  It was too slow to be a meteor, and definitely was not a plane.  It moved from the north to south for approximately 30 seconds then simply disappeared.",
20100102,20100102," Boca Raton, FL", fireball,4 Minutes,"Slow moving fireball northbound at hight altitude Southern FloridaJust after midnight at my party 4 of us witness a fireball moving north bound in the sky.  It was at a very high altitude moving faster than a plane, with an orange burning glow (Fireball). After 4 minutes the fireball then appeared to burnout but we were able to see a dot reflection (probably a reflection off the Blue moon) for 30 seconds after wards.",
20100102,20100102," Mandeville, LA", disk,45 minutes,"1 orange colored craft moved around sky,then blinked out.Then saw about 8 orange craft streak across outer atmosphere in a staggered line same orange color.Then 10 minutes later 3 orange craft came from the ground about 5 miles away and slowly rose at a great angle of asccent then faded to dim white light then blink out about 8 miles away.Then 2 more lifted up about three miles north of the others,slowly rose and moving our way the one trailing blinked out the other stayed lit until it reached a thin cloud layer at around 10,000ft blinked out just as it went over our house but with full moon behind it, it sihlouetted itself in the thin lit clouds from the moon.I could see it&apos;s disk shape perfectly moving through clouds,quite a moving experience,until I lost it.",
20100102,20100102," Walworth, WI", sphere,5-7 minutes,"Large red/orange orb traveling southeast between Milwaukee and Chicago.Driving in rural area noticed large red/orange orb.  It was the color of fire.  One single light, no flashing lights.  Traveled northwest to southeast.  Hard to guess the size and distance it was away from the ground.  It was a clear night was much larger and brighter than any star in the sky.  I have observed many jets circling O&apos;Hare airport and Mitchell Field.  This orb was much larger and brighter than commerical jet landing lights.  It moved across the sky at a moderate rate.  I was able to exit my vehicle and listen for any mechanical sounds none were heard.  The orb moved across the sky, started to fade and quickly disappeared.  No sign of tail like on a comet or meteor. Nothing like I have every seen before.",
20100102,20100102," Jilotepec (Mexico),", diamond,15 minutos,"AVISTAMIENTO DE OVNI SOBRE MEXICO.ERAN LAS 19:00 HORAS P.M. APROXIMADAMENTE CUANDO ESTABAMOS EN LA GRANJA ALIMENTANDO LOS CABALLOS, DE REPENTE MIRAMOS AL CIELO MI ESPOSA Y YO,  OBSERVAMOS UNA LUZ CON FORMA DE DIAMANTE ATRAVESO EL CIELO DE OESTE A ESTE, CAMBIANDO DE COLOR DE BLANCO A AMARILLO Y DESAPARECIENDO REPENTINAMENTE Y APARECIENDO NUEVAMENTE A GRAN VELOCIDAD, EN OTRO LUGAR,NO ERA UN AVION PORQUE NO VIAJAN EN ESA DIRECCION-",
20100102,20100102," Dublin (Ireland),", unknown,00:03,"un-usual light over Dublin bay.It was about 22:30 my friend and i where walking too my house, we rounded a cornor and infront of us in the distance was this un-usual bright red light in the sky moving north to south, it was west of us. our first thought was immeditly.. ok thats an airplane or even a helicopter since we where near dublin airport, but we&apos;ve both seen all kinds of planes fly around at night and none have nav lights that powerful. we watched the object as we walked and noticed it was now more an orange colour and was keeping its same pace moving north to south and had now started becoming less bright, fading out. after a minute or two it was gone a tiny dot in the sky then gone. its the 4th time seeing similar lights in the sky over dublin",
